,Link,Occurred,City,State,Country,Shape,Summary,Reported,Posted,Media
714,Open,07/10/2020 01:00,Mills,PA,USA,Disk,large rotating saucer with dome. It stayed in one spot well above the tree line on the hill across the road from me.,11/23/2020,12/23/2020,
715,Open,07/09/2020 20:33,Pittsburgh,PA,USA,Orb,Strange sky and 2 moving orbs of light in the sky.,07/09/2020,07/23/2020,
716,Open,07/09/2020 00:25,West Abington Township,PA,USA,Teardrop,Black figure ignites  across sky and then vanished with a very controlled blast of light.  ((NUFORC Note:  Contact info defective.  PD),07/09/2020,07/09/2020,
717,Open,07/08/2020 21:45,Allentown,PA,USA,Fireball,"Round very bright orange object traveling west to east, turned south, ascended quickly, getting smaller then  disappeared into blacknes",07/08/2020,07/09/2020,
718,Open,07/08/2020 09:30,Levittown,PA,USA,Light,Bright white star shape that flew rapidly and flashed red and blue.,07/08/2020,07/09/2020,
719,Open,07/07/2020 22:00,Pittsburgh,PA,USA,Other,"Directly after an airplane flew over head to land at a nearby runway, my gf noticed lights moving in and out from each other. I though",07/06/2020,07/09/2020,
720,Open,07/07/2020 01:00,Dawson,PA,USA,Light,Seen a red light fly to a group of red lights.,07/07/2020,07/09/2020,
721,Open,07/05/2020 22:40,Nockamixon township,PA,USA,Light,Bright light rise over the lake went across the lake then disappeared,07/05/2020,07/09/2020,
722,Open,07/05/2020 22:31,Coudersport,PA,USA,Other,Looked like flashing headlights in the sky,07/11/2020,07/23/2020,
723,Open,07/05/2020 02:40,Girardville,PA,USA,Light,Bright orange light moving slowly from west to east then disappearing.,07/06/2020,07/09/2020,
724,Open,07/05/2020 02:39,Girardville,PA,USA,Light,Object that was orange circler bright light.,07/05/2020,07/09/2020,
725,Open,07/04/2020 22:00,Emmaus,PA,USA,Sphere,I noticed a single red circle going at a medium slow rate from the south to the north. Then noticed three other crafts .much smaller th,07/08/2020,07/09/2020,
726,Open,07/04/2020 22:00,Hatboro,PA,USA,Fireball,We were sitting by our pool trying to watch fireworks but they really didnt happen. Observed in the near sky what appeared to be a fire,07/17/2020,07/23/2020,
727,Open,07/02/2020 22:00,Pittsburgh,PA,USA,Triangle,It began to rotate and we could see it was a huge triangular object. A white light on each corner and a red light in the middle.,07/02/2020,07/03/2020,
728,Open,06/29/2020 10:40,York,PA,USA,Cigar,"A silver, cigar shaped ufo flew over my workplace. It was barely visible on this clear day. It had no wings and very thin. It flew pret",06/29/2020,07/03/2020,
729,Open,06/23/2020 14:00,Pittsburgh,PA,USA,Oval,Oval object moving in different directions,05/20/2021,05/20/2021,
